iter	Passed	Remaining
0	251	95705
1	513	97570
2	776	98042
3	1021	96493
4	1295	97703
5	1567	98218
6	1813	97176
7	2110	98664
8	2338	96924
9	2578	95911
10	2797	94361
11	3061	94407
12	3338	94751
13	3589	94340
14	3816	93378
15	4066	93012
16	4312	92592
17	4558	92186
18	4796	91646
19	5038	91189
20	5297	91066
21	5533	90555
22	5779	90215
23	6060	90409
24	6335	90468
25	6583	90146
26	6843	89977
27	7088	89614
28	7312	89006
29	7561	88719
30	7818	88527
31	8054	88101
32	8310	87892
33	8574	87763
34	8854	87784
35	9122	87677
36	9363	87306
37	9633	87211
38	9863	86747
39	10122	86546
40	10383	86356
41	10664	86330
42	10924	86122
43	11177	85861
44	11536	86394
45	11826	86386
46	12108	86302
47	12446	86610
48	12775	86823
49	13040	86588
50	13285	86226
51	13565	86091
52	13838	85904
53	14115	85738
54	14363	85395
55	14603	85015
56	14859	84722
57	15145	84604
58	15405	84340
59	15658	84033
60	15976	84074
61	16248	83863
62	16512	83610
63	16820	83574
64	17124	83516
65	17422	83418
66	17756	83480
67	18001	83125
68	18245	82767
69	18493	82428
70	18840	82526
71	19113	82293
72	19407	82147
73	19691	81960
74	19948	81656
75	20216	81399
76	20461	81048
77	20706	80701
78	20968	80425
79	21221	80109
80	21459	79745
81	21715	79445
82	21962	79119
83	22186	78707
84	22413	78316
85	22639	77921
86	22884	77597
87	23131	77279
88	23371	76941
89	23603	76579
90	23831	76209
91	24069	75871
92	24312	75551
93	24541	75190
94	24786	74881
95	25011	74514
96	25253	74199
97	25506	73917
98	25748	73603
99	25993	73300
100	26212	72928
101	26457	72629
102	26705	72337
103	26971	72095
104	27236	71851
105	27469	71524
106	27703	71200
107	27958	70932
108	28206	70644
109	28461	70376
110	28732	70149
111	28988	69883
112	29227	69577
113	29469	69278
114	29723	69010
115	29959	68700
116	30205	68413
117	30449	68123
118	30665	67772
119	30913	67494
120	31158	67209
121	31409	66937
122	31637	66619
123	31892	66356
124	32144	66089
125	32392	65813
126	32608	65474
127	32849	65185
128	33122	64961
129	33384	64715
130	33639	64454
131	33886	64179
132	34166	63966
133	34437	63735
134	34728	63540
135	35034	63371
136	35374	63260
137	35675	63078
138	35944	62837
139	36197	62569
140	36459	62317
141	36694	62019
142	36953	61760
143	37245	61559
144	37495	61285
145	37747	61016
146	37972	60703
147	38216	60422
148	38460	60143
149	38707	59867
150	38948	59583
151	39196	59310
152	39443	59037
153	39681	58748
154	39915	58456
155	40137	58147
156	40364	57847
157	40606	57568
158	40851	57295
159	41093	57017
160	41344	56752
161	41592	56483
162	41857	56237
163	42089	55947
164	42350	55697
165	42593	55423
166	42834	55145
167	43075	54870
168	43329	54610
169	43553	54313
170	43788	54031
171	44023	53749
172	44265	53476
173	44511	53208
174	44766	52952
175	45024	52698
176	45258	52417
177	45536	52187
178	45788	51927
179	45995	51617
180	46233	51341
181	46509	51109
182	46750	50838
183	46994	50569
184	47237	50301
185	47483	50036
186	47732	49774
187	48008	49540
188	48236	49257
189	48461	48972
190	48695	48695
191	48939	48429
192	49201	48181
193	49438	47909
194	49670	47632
195	49944	47395
196	50169	47113
197	50390	46827
198	50650	46578
199	50979	46391
200	51261	46161
201	51505	45895
202	51757	45638
203	51998	45370
204	52264	45125
205	52530	44880
206	52768	44610
207	53012	44347
208	53268	44093
209	53506	43824
210	53736	43549
211	53957	43267
212	54210	43012
213	54431	42731
214	54655	42453
215	54894	42187
216	55124	41915
217	55379	41661
218	55647	41418
219	55901	41163
220	56155	40909
221	56406	40653
222	56634	40380
223	56860	40107
224	57087	39834
225	57326	39570
226	57553	39298
227	57781	39027
228	58017	38762
229	58260	38502
230	58476	38224
231	58714	37961
232	58946	37695
233	59167	37422
234	59413	37165
235	59655	36905
236	59896	36645
237	60127	36379
238	60354	36111
239	60583	35845
240	60807	35575
241	61037	35310
242	61264	35044
243	61510	34788
244	61733	34520
245	61982	34267
246	62208	34000
247	62427	33731
248	62669	33474
249	62906	33214
250	63122	32944
251	63397	32704
252	63692	32475
253	63980	32241
254	64345	32046
255	64665	31827
256	64934	31583
257	65179	31326
258	65449	31081
259	65725	30840
260	65997	30596
261	66260	30348
262	66491	30085
263	66743	29832
264	66997	29580
265	67325	29359
266	67609	29120
267	67871	28870
268	68167	28635
269	68495	28412
270	68802	28181
271	69208	27988
272	69570	27777
273	69967	27578
274	70383	27385
275	70832	27203
276	71173	26979
277	71525	26757
278	71851	26525
279	72174	26292
280	72472	26048
281	72729	25790
282	72995	25535
283	73229	25269
284	73465	25003
285	73697	24737
286	73938	24474
287	74156	24203
288	74383	23936
289	74638	23678
290	75012	23457
291	75327	23217
292	75724	23001
293	76096	22777
294	76456	22548
295	76757	22301
296	77049	22051
297	77332	21798
298	77599	21540
299	77851	21279
300	78110	21019
301	78364	20758
302	78625	20499
